p,t,avg_ts,stdev_ts
128,1,33.26,0.16
256,1,26.75,0.17
512,1,25.20,0.04
128,2,50.23,0.36
256,2,48.69,0.29
512,2,45.40,0.26
128,4,92.62,0.91
256,4,90.81,0.58
512,4,85.17,0.62
128,8,107.21,2.52
256,8,107.53,1.89
512,8,108.64,1.28
