p,t,avg_ts,stdev_ts
128,1,19.90,0.09
256,1,19.49,0.05
512,1,18.54,0.06
128,2,39.37,0.04
256,2,38.65,0.07
512,2,36.53,0.05
128,4,76.60,0.23
256,4,75.22,0.35
512,4,71.80,0.20
128,8,130.18,3.47
256,8,119.62,1.07
512,8,111.79,0.73
