p,t,avg_ts,stdev_ts
128,1,32.92,0.11
256,1,27.54,0.13
512,1,25.57,0.12
128,2,51.99,0.76
256,2,48.83,0.21
512,2,46.50,0.29
128,4,96.82,1.29
256,4,93.07,1.54
512,4,87.54,0.54
128,8,114.29,2.51
256,8,112.41,1.99
512,8,111.65,1.65
